
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :45;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :46;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :47;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :48;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :49;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :50;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :51;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :52;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :53;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :54;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :55;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :56;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :57;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :58;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:23;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :59;Start Time :11:55:23;Message :Record added successfully ;End Time :11:55:24;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :60;Start Time :11:55:24;Message :Record added successfully ;End Time :11:55:24;
Job Name :Excel Import;User Name:Service Transcation Excel Import (Super Administrator);Row Number :61;Start Time :11:55:24;Message :Record added successfully ;End Time :11:55:24;
